CharacterID,ID,ScriptID,Script,Value,Branch
13501,1,80001,멀리서 아름다운 노래소리가 들린다. 소리를 따라가보니 메리아가 노래연습에 몰두하고 있다,-1,-1
13501,1,80002,"""흠흠~ 앗, 지휘관님! 여기까지 무슨일이세요?""",-1,-1
13501,1,80003,"""혹시 메리아의 노래를 들어주러 왔다던가~?""",-1,-1
13501,1,80004,"""그러고보니 지휘관님은 어떤 스타일의 노래를 좋아하시나요?""",-1,-1
13501,1,80005,!잔잔한 재즈풍 음악,-1,80007
13501,1,80006,!신나는 락 스타일 음악,-1,80009
13501,1,80007,"""역시 지휘관님은 저랑 잘 맞네요! 잔잔한 분위게 맞춰서 즐겁게 노래를 부르는 순간만큼은 지금 이 힘든 상황들도 전부 잊게 되요.""",-1,80008
13501,1,80008,"""다음에 기회가 되면 함께 재즈 카페도 놀러가요!""",100,0
13501,1,80009,"""음~ 락 음악도 좋죠! 하지만 메리아는 그 소리를 계속 듣고 있다보면 현장에서의 폭격소리가 연상되서 가끔은 지치게 되더라구요…""",-1,80010
13501,1,80010,"""그래도 지휘관님과 함께라면 같이 공연도 구경가보고 싶네요!""",50,0
13501,2,80011,"""오늘은 날씨도 좋고, 지휘관님과 함께라서 기분이 정말 좋아요. 이런 날은 밖에서 노래 연습하기도 참 좋죠.""",-1,-1
13501,2,80012,"""지휘관님이랑 같이 있으면, 노래 가사가 저절로 떠오를 정도로 영감이 솟아나요.""",-1,-1
13501,2,80013,"""아, 맞다! 지휘관님, 제가 새로 작곡한 노래 한 번 들어볼래요? 아직 미완성이지만, 의견을 듣고 싶어서요.""",-1,-1
13501,2,80014,"""음... 이 부분의 멜로디가 좀 망설여지는데, 어떻게 생각하세요?""",-1,-1
13501,2,80015,!따뜻한 멜로디를 더한다,-1,80017
13501,2,80016,!리듬을 좀 더 신나게 바꾼다,-1,80019
13501,2,80017,"""따뜻한 멜로디요? 그렇게 해볼게요. 지휘관님이 제안해주신 대로, 마음을 감싸는 듯한 멜로디를 넣어서 노래에 따뜻함을 더해볼게요.""",-1,80018
13501,2,80018,"""감사해요 지휘관님! 덕분에 노래가 더욱 풍부해질 것 같아요.""",100,0
13501,2,80019,"""신나는 리듬이라... 잘 어울릴진 모르겠지만 노력해볼게요!  지휘관님의 아이디어는 언제나 저를 더 열정적으로 만들어주네요.""",50,0
13501,3,80020,"""오늘도 무사히 전선에서 돌아왔네요! 지휘관님... 조금 쉬면서 이야기할까요?""",-1,-1
13501,3,80021,"""레니온의 위협 속에서도 센티넬이 되어 싸우는 건 싫지 않지만, 노래와 무대에 대한 제 꿈도 단 한 순간도 잊지 않고 있어요.""",-1,-1
13501,3,80022,"""전쟁이 끝나고 평화가 찾아온다면... 저는 과연 무대 위에서 노래할 수 있을까요?""",-1,-1
13501,3,80023,!메리아의 꿈은 반드시 이루어질 거다,-1,80025
13501,3,80024,!전쟁이 끝난 후에도 여전히 기회는 많다,-1,80027
13501,3,80025,"""정말 그렇게 믿어주시나요? 지휘관님의 말씀이 정말 마음 깊이 와닿아요. 이렇게 확실하게 말씀해주시니, 전쟁 속에서도 희망을 잃지 않을 수 있을 것 같아요.""",-1,80026
13501,3,80026,"""꿈을 향해 더욱 힘차게 나아가겠습니다!""",100,0
13501,3,80027,"""그 말도 일리가 있어요. 전쟁 후에 새로운 시작이 기다리고 있겠죠. 지휘관님의 조언대로, 현재에 집중하면서 미래의 기회들도 놓치지 않도록 준비해야겠어요.""",-1,80028
13501,3,80028,"""언젠가 무대에 서는 그날을 꿈꾸며 오늘도 최선을 다할게요""",50,0
13501,4,80029,"""지휘관님, 쿠로카미 언니가 항상 저희를 챙겨주시는 걸 보면 정말 마음이 따뜻해져요. 그래서 감사의 의미로 정성을 담은 선물을 하고 싶어요.""",-1,-1
13501,4,80030,"""평소에 간식을 즐겨 먹는거 같아서 쿠키를 선물할까 하는데 수제 쿠키랑 전문점에서 사온 쿠키중에 어떤 선물이 좋을까요?""",-1,-1
13501,4,80031,!손수 만든 수제 쿠키를 선물한다,-1,-1
13501,4,80032,!쿠키 전문점의 고급 쿠키를 선물한다,-1,-1
13501,4,80033,"""역시 손수 만든 쿠키군요! 분명 언니한테 저의 마음을 전할 수 있는 선물이 될거에요. 쿠로카미 언니의 웃는 얼굴을 상상하니 벌써부터 행복해요!""",-1,80034
13501,4,80034,"""엄~청 고민됐는데 도와주셔서 고마워요 지휘관님!""",100,0
13501,4,80035,"""전문점의 쿠키라... 그것도 멋진 선물이 될 거예요. 쿠로카미 언니의 고급스러운 취향을 고려한다면 정말 좋아하실 거예요.""",-1,80036
13501,4,80036,"""언니께서 좋은 품질의 선물을 받으실 자격이 충분하니까요.""",50,0
13401,5,80037,"""오늘의 작전은 다시 한 번 우리 팀의 결속력을 보여준 것 같아요. 하지만 가끔은 리더로서의 책임이 너무 버거워질 때도 있어요.""",-1,-1
13401,5,80038,"""지휘관님, 이런 때 제가 어떻게 하면 더 나은 리더가 될 수 있을까요?""",-1,-1
13401,5,80039,"!쿠로카미, 너는 이미 최고의 리더야. 네가 팀원들을 어떻게 돌보는지 모두가 알고 있어.",-1,80041
13401,5,80040,"!중요한 건 균형이야. 리더로서뿐만 아니라 개인적인 시간도 중요하게 생각해야 해. ",-1,80042
13401,5,80041,"""그런 말을 들으니 정말 힘이 나네요. 지휘관님의 믿음이 제게 큰 힘이 됩니다. 앞으로도 팀원들을 위해 최선을 다할게요. 정말 감사해요, 지휘관님.""",100,0
13401,5,80042,"""맞아요, 균형이 중요하죠. 제 자신도 잘 돌보면서 리더로서의 역할을 수행해야겠어요. 지휘관님의 조언 덕분에 다시 한 번 생각해보게 되었어요. 조언 감사합니다.""",50,0
13401,6,80043,"""지휘관님~ 메카노이아 도심에 있는 카페에서 새로운 케이크 메뉴가 나왔다고 들었어요. 함께 가보실래요? 제가 커피도 한 잔 사드릴게요!""",-1,-1
13401,6,80044,"""앗, 근데 알파 소대원들도 부르는게 좋으려나요?""",-1,-1
13401,6,80045,!단둘이 간다,-1,80047
13401,6,80046,!알파 소대원들하고 다같이 간다,-1,80049
13401,6,80047,"""단둘이라니... 이런 게 바로 '데이트'라는 건가요? 지휘관님과 함께라니, 마음이 두근거리는 것 같아요.
""",-1,80048
13401,6,80048,"새로운 케이크를 먹으며 우리만의 시간을 갖는다니, 정말 특별한 날이 될 것 같네요!",100,0
13401,6,80049,"""아, 소대원들과 함께라면 분위기가 더 활기차겠네요. 뭐, 지휘관님과 단둘이면 좋았을 텐데... """,-1,80050
13401,6,80050,"""하지만 다음 기회가 있겠죠? 팀원들과도 즐거운 시간을 보내봐요!""",50,0
13401,7,80051,"""지휘관님, 밤하늘의 별들을 보니 마음이 평온해지네요. 전쟁에서 벗어나 잠시나마 이렇게 평화로운 시간을 가질수 있다는 것에 감사해야겠죠. 
""",-1,-1
13401,7,80052,"""지휘관님은 밤하늘의 별들을 보면 어떤 생각을 하시나요?""",-1,-1
13401,7,80053,!수많은 별들처럼 무수한 가능성과 미래를 생각한다.,-1,80055
13401,7,80054,!이 별들처럼 평화로운 세상이 올수 있길 바란다,-1,80056
13401,7,80055,"""저도 그렇게 생각해요. 지휘관님과 함께라면 어떤 어려움도 극복할 수 있을 것 같은 기분이 들어요. 이 별빛처럼 우리의 미래도 빛나길 바랍니다.""",100,0
13401,7,80056,"""그 말씀에 동감해요. 평화를 향한 우리의 노력이 결실을 맺기를 바라죠. 지휘관님과 함께라면, 그런 날을 언젠가는 꼭 볼 수 있을 거라고 믿어요.""",50,0
13401,8,80057,"""지휘관님, 오늘의 훈련 일정을 준비해야 할 시간이네요. 팀의 전투 능력을 향상시키기 위해선 다양한 훈련이 중요하죠.""",-1,-1
13401,8,80058,"""오늘은 어떤 훈련을 집중적으로 할까요?""",-1,-1
13401,8,80059,!결정적인 정밀도를 상승시킬 수 있는 사격 트레이닝,-1,80061
13401,8,80060,!전장에서의 지구력을 키울수 있는 체력 트레이닝,-1,80063
13401,8,80061,"""사격 훈련이라... 좋은 생각이에요. 명중률을 높이는 것은 전투에서 결정적인 차이를 만들죠.""",-1,80062
13401,8,80062,"""지휘관님의 지시대로, 오늘은 사격 기술을 집중적으로 연습해보겠습니다.""",100,0
13401,8,80063,"""체력 트레이닝도 중요하죠. 전장에서의 지구력은 생존과 직결되니까요. 오늘은 소대원들과 다 같이 단련해볼게요.""",-1,80064
13401,8,80064,"""지휘관님과 함께라면 어떤 훈련도 힘들지 않을 거예요.""",50,0
13103,9,80065,"지휘관님, 오늘 우리 가디언들이 어떤 훈련을 집중해야 할지 결정해야 할 시간입니다. 우리 팀은 강해져야 하니까요. 지휘관님의 의견은 어떠십니까?",-1,-1
13103,9,80066,!오늘은 전술 훈련에 집중한다,-1,80068
13103,9,80067,"!구조 훈련을 강화해서, 위험 상황에서의 대응 능력을 높인다",-1,80070
13103,9,80068,"전술 훈련이군요. 지휘관님이 제안하신대로, 오늘은 의사결정 능력을 갈고닦아야겠어요.",-1,80069
13103,9,80069,"전장에서 빠른 판단은 우리가 살아남는 데 결정적입니다. 함께라면 더 빠르게, 더 정확하게 배울 수 있을 거예요.",100,0
13103,9,80070,"구조 훈련도 중요하죠. 지휘관님의 의견을 따라, 오늘은 구조 능력 향상에 집중해 보겠습니다. ",-1,80071
13103,9,80071,가디언으로서의 우리 임무를 잊지 말아야겠죠.,50,0
13103,10,80072,"""지휘관님, 가디언 팀의 효율성을 유지하는 것과 개인적인 균형 또한 중요하다는 것을 인식하고 있습니다.""",-1,-1
13103,10,80073,"""이번 기회에 취미를 시작하고자 하는데, 어떤 활동이 좋을지 궁금합니다. 지휘관님의 추천을 부탁드립니다.""",-1,-1
13103,10,80074,!메리아와 함께 음악 활동,-1,80076
13103,10,80075,!체스 및 전략 게임 플레이,-1,80078
13103,10,80076,"""메리아와의 음악 활동을 시작하다니... 팀워크를 증진하고 소통하는 데 도움이 될 것 같습니다.""",-1,80077
13103,10,80077,"""메리아에게 연락하여 상의해보겠습니다. 좋은 제안을 주셔서 감사합니다.""",100,0
13103,10,80078,"""체스와 전략 게임을 통해 플레이하다니, 전술적 사고력을 연마하는 데에 유익할 것 같습니다.""",-1,80079
13103,10,80079,"""전술적 사고와 게임의 집합체라...적절한 휴식 방법이 될 수 있겠군요. 이 제안도 고려해보겠습니다.""",50,0
13103,11,80080,"""저는 이런 평화로운 날에는 기지 내의 이 정원에서 잠시 머무르는 것을 좋아합니다.""",-1,-1
13103,11,80081,"""전쟁의 긴장감에서 벗어나 잠시나마 평화로움을 즐기죠. 지휘관님은 여가 시간을 어떻게 보내십니까?""",-1,-1
13103,11,80082,!친구들과 함께 정기적으로 스포츠를 즐긴다.,-1,80084
13103,11,80083,!도시에 있는 맛집을 찾아다닌다.,-1,80086
13103,11,80084,"""스포츠를 즐기시는군요. 팀 스포츠는 몸과 마음 모두에 활력을 주는 좋은 방법이죠. 팀으로서의 협동을 강화하는 데에도 도움이 됩니다.
""",-1,80085
13103,11,80085,"""지휘관님과 함께 스포츠를 즐길 기회가 있었으면 좋겠네요.""""",50,0
13103,11,80086,"""맛집이... 무엇입니까?""",-1,80087
13103,11,80087,"""맛있는 음식점 이라는 말이라니... 요즘 사람들은 다들 이런 말을 쓰는겁니까?""",-1,80088
13103,11,80088,"""다음에 괜찮다면 저도 그... 맛집이라는 곳을 함께 가보고싶습니다.""",100,0
