ID,KOR,ENG
stage,스테이지,Stage
wave,웨이브,Wave
waveTextAdditional,회 남음,left
monsterInfo,적 정보,Monster
mapInfo,맵 정보,Map
killMonsterCount,제거한 몬스터,Monster removed
arrangement,배치,Arrangement
cancel,취소,Cancel
collection,회수,Collection
skill,스킬,Skill
outline,개요,Outline
recommendedLevel,권장 레벨,Recommended Level
mission,미션,Mission
missionClear,미션 성공,Mission Clear
missionFail,미션 실패,Mission Fail
guardian,가디언,Guardian
stricker,스트라이커,Stricker
hunter,헌터,Hunter
caster,캐스터,Cater
supporter,서포터,Supporter
amber,엠버,Amber
bisk,비스크,Bisk
chunja,박춘자,Park Chunja
december,디셈버,December
ghost,고스트,Ghost
isabella,이사벨라,Isabella
iyra,아이라,Iyra
jest,져스트,Jest
kalea,칼레아,Kalea
kurokami,쿠로카미,Kurokami
meria,메리아,Meria
nastra,나스트라,Nastra
nemesis,네메시스,Nemesis
neo,네오,Neo
pala,파라,Pala
raven,레이븐,Raven
ren,렌,Ren
revy,레비,Revy
ryusien,리우센,Ryusien
siena,시에나,Siena
tamira,타미라,Tamira
teio,테이오,Teio
tsuyubaka,츠유바카,Tsuyubaka
lagerta,라게르타,Lagerta
storyStage,스토리 스테이지,Stroy Stage
trainingStage,트레이닝 스테이지,Training Stage
assignmentStage,숙제 스테이지,Assignment Stage
challengeStage,도전 스테이지,Challenge Stage
competencyEvaluation,역량 평가,Competency evaluation
medic,메딕,Medic
hunt,사냥,Hunt
guard,수호,Guard
strategy,전략,Strategy
attribute,속성,Attribute
temp,임시,Temp
recon,정찰,Recon
alternativeChoice,양자택일,Alternative Choice
repetition,반복,Repetition
block,저지,Block
raid,기습,Raid
circulation,순환,Circulation
memory,추억,Memory
acception,수용,Acception
depression,우울,Depression
trial,시련,Trial
removeTarget,타겟 제거,Remove target
buildingDefenseLine,방어선 구축,Building a line of defense
damage,공격력,Damage
armor,방어력,Armor
hp,체력,Hp
shield,보호막,Shield
mission1,몬스터 0마리 처치,Kill 0 of monster
mission2,시간 0초까지 생존,Survive until 0 seconds
mission3,제한 시간 0초 내 클리어,Clear within 0 seconds of time limit
mission4,배치 코스트 0 이하 사용,Use arrange cost 0 or less
mission5,하우스가 받은 피해 0 미만,Less than 0 damage done to the house
mission6,플레이어 전투 승리,Player battle win
story0-1Outline,스토리0-1 개요,None
storyTR-1Outline,스토리TR-1 개요,None
story0-2Outline,스토리0-2 개요,None
story0-3Outline,스토리0-3 개요,None
story0-4Outline,스토리0-4 개요,None
storyTR-2Outline,스토리TR-2 개요,None
story0-5Outline,스토리0-5 개요,None
storyTR-3Outline,스토리TR-3 개요,None
story0-6Outline,스토리0-6 개요,None
story0-7Outline,스토리0-7 개요,None
story0-8Outline,스토리0-8 개요,None
story0-9Outline,스토리0-9 개요,None
story0-10Outline,스토리0-10 개요,None
assignmentPR-1Outline,숙제PR-1 개요,None
assignmentPR-2Outline,숙제PR-2 개요,None
assignmentPR-3Outline,숙제PR-3 개요,None
assignmentPR-4Outline,숙제PR-4 개요,None
assignmentPR-5Outline,숙제PR-5 개요,None
assignmentPR-6Outline,숙제PR-6 개요,None
challengeCN-1Outline,도전CN-1 개요,None
challengeCN-2Outline,도전CN-2 개요,None
guardianInfo,높은 방어력과 생명력을 가지고 있는 탱커,Tanker with high defense and vitality
strikerInfo,근거리 공격에 특화된 딜러,Dealers specialized in close range attacks
hunterInfo,"대공, 관통 공격에 특화된 딜러","Dealers specialized in anti-aircraft, penetration attacks"
casterInfo,광역 공격에 특화된 딜러,Dealers specialized in wide-area attacks
supporterInfo,버프를 통해 팀에게 도움이 되는 서포터,Supporters to help the team through buffing
silver,은화,Silver
beginnerOperationsReport,초급 작전 보고서,Beginner Operations Report
intermediateOperationsReport,중급 작전 보고서,Intermediate Operations Report
advancedOperationsReport,고급 작전 보고서,Advanced Operations Report
nearFieldTechCore,근거리 테크 코어,Near Field Tech Core
remoteTechCore,원거리 테크 코어,Remote Tech Core
deviceOil,디바이스 오일,Device Oil
devicePack,디바이스 팩,Device Pack
circuitScraps,회로 스크랩,Circuit Scraps
mainEngineKit,메인 엔진 키트,Main Engine Kit
plasmaCoilArray,플라즈마 코일 어레이,Plasma Coil Array
advancedConnectionModule,고급 연결 모듈,Advanced Connection Module
eliteConnectionModule,엘리트 연결 모듈,Elite Connection Module
antiMatterConnectionModule,안티매터 연결 모듈,Anti-matter Connection Module
beginnerFieldManual,초급 필드 매뉴얼,Beginner Field Manual
intermediateFieldManual,중급 필드 매뉴얼,Intermediate Field Manual
advancedFieldManual,고급 필드 매뉴얼,Advanced Field Manual
partsStockBox,부품 재고박스,Parts Stock Box
gachaSystemRelease,가챠 시스템 해제,Gacha System Release
assignmentStageRelease,숙제 스테이지 해제,Assignment Stage Release
affectionSystemRelease,호감도 시스템 해제,Affection System Release
deviceSystemRelease,디바이스 개조 시스템 해제,Device System Release
synchroSystemRelease,싱크로 시스템 해제,Synchro System Release
skillUpgradeSystemRelease,스킬 업그레이드 시스템 해제,Skill Upgrade System Release
challengeStageRelease,도전 스테이지 해제,Challenge Stage Release